Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Ecotype,Library Name,Alias,Broker_name,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),growth_condition,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,organism_part,organism,replicate,sample_name,sampling_time_point,SRA_accession,title,Age,GEO_Accession (exp),source_name,infect,tissue,ecotype_background,harvest_time_after_treatment,treated_with,Description,BioSampleModel,genotype/variation,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,treatment,agent
SRR7686004,RNA-Seq,300,7556739300,PRJNA485392,SAMN09789226,2978629760,CHINESE ACADEMY OF SCIENCES,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4546511,HiSeq X Ten,PAIRED,PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-04-04T00:00:00Z,PsmC234,SRP157146,Col-0,PsmC2343,,,,,,,,,,,,,,,,,,4-week old,,,,leaves,,,,,Plant,,USA,North America,USA,,
SRR7686005,RNA-Seq,300,7330777500,PRJNA485392,SAMN09789226,2849758659,CHINESE ACADEMY OF SCIENCES,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4546510,HiSeq X Ten,PAIRED,PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-04-04T00:00:00Z,PsmC234,SRP157146,Col-0,PsmC2342,,,,,,,,,,,,,,,,,,4-week old,,,,leaves,,,,,Plant,,USA,North America,USA,,
SRR7686012,RNA-Seq,300,6665901300,PRJNA485392,SAMN09789225,2660490560,CHINESE ACADEMY OF SCIENCES,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX4546503,HiSeq X Ten,PAIRED,PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-04-04T00:00:00Z,Psm,SRP157146,Col-0,Psm2,,,,,,,,,,,,,,,,,,4-week old,,,,leaves,,,,,Plant,,USA,North America,USA,,
SRR7686013,RNA-Seq,300,7612194300,PRJNA485392,SAMN09789225,3034772492,CHINESE ACADEMY OF SCIENCES,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4546502,HiSeq X Ten,PAIRED,PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-04-04T00:00:00Z,Psm,SRP157146,Col-0,Psm1,,,,,,,,,,,,,,,,,,4-week old,,,,leaves,,,,,Plant,,USA,North America,USA,,
SRR7686014,RNA-Seq,300,7551386400,PRJNA485392,SAMN09789226,2934617657,CHINESE ACADEMY OF SCIENCES,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX4546501,HiSeq X Ten,PAIRED,PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-04-04T00:00:00Z,PsmC234,SRP157146,Col-0,PsmC2341,,,,,,,,,,,,,,,,,,4-week old,,,,leaves,,,,,Plant,,USA,North America,USA,,
SRR7686015,RNA-Seq,300,7760152800,PRJNA485392,SAMN09789225,3024681841,CHINESE ACADEMY OF SCIENCES,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX4546500,HiSeq X Ten,PAIRED,PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2019-04-04T00:00:00Z,Psm,SRP157146,Col-0,Psm3,,,,,,,,,,,,,,,,,,4-week old,,,,leaves,,,,,Plant,,USA,North America,USA,,
SRR6757368,RNA-Seq,50,77210850,PRJNA434891,SAMN08578673,26516208,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX3729881,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2018-03-01T00:00:00Z,GSM3019138,SRP133215,Col-0,,,,,,,,,,,,,,,,,,,8 dpi,GSM3019138,Leaves,,,,,,,,,,,,,"Healthy\, none"
SRR6757369,RNA-Seq,50,87850800,PRJNA434891,SAMN08578674,40183773,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX3729882,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2018-03-01T00:00:00Z,GSM3019139,SRP133215,Col-0,,,,,,,,,,,,,,,,,,,8 dpi,GSM3019139,Leaves,,,,,,,,,,,,,Tobacco rattle virus
SRR6283146,RNA-Seq,125,2731597875,PRJNA418121,SAMN08015227,902235726,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX3385261,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2017-12-15T00:00:00Z,GSM2850645,SRP124841,,,,,,,,,,,,,,,,,,,,,GSM2850645,4-week old plants mature leaves,,,,,,,,Col-0 ecotype,,,,infected,
SRR6283145,RNA-Seq,125,2457636250,PRJNA418121,SAMN08015228,804653176,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX3385260,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2017-12-15T00:00:00Z,GSM2850644,SRP124841,,,,,,,,,,,,,,,,,,,,,GSM2850644,4-week old plants mature leaves,,,,,,,,Col-0 ecotype,,,,healthy,
SRR6283148,RNA-Seq,125,2650378000,PRJNA418121,SAMN08015225,877142804,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3385263,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2017-12-15T00:00:00Z,GSM2850647,SRP124841,,,,,,,,,,,,,,,,,,,,,GSM2850647,4-week old plants mature leaves,,,,,,,,Col-0 ecotype,,,,infected,
ERR1406259,RNA-Seq,101,2858211827,PRJEB13938,SAMEA3960024,2093813136,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477495,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960024,ERP015521,Col-0,Sample 1,E-MTAB-4683:Sample 1,ArrayExpress,ERC000011,2016-06-05,2018-11-16,10 mM MgCl2,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:37Z,public,rosette leaf,Arabidopsis thaliana,1,ERS1147158,2,ERS1147158,Sample 1,,,,,,,,,,,,,,,,
ERR1406260,RNA-Seq,101,3081551107,PRJEB13938,SAMEA3960025,2244891418,Functional Genomics Center Zurich,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1477496,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-06-06T00:00:00Z,SAMEA3960025,ERP015521,Col-0,Sample 10,E-MTAB-4683:Sample 10,ArrayExpress,ERC000011,2016-06-05,2018-11-16,10 mM MgCl2,Institute of Microbiology ETH Zurich,2016-06-05T17:01:42Z,2016-05-09T16:55:37Z,public,rosette leaf,Arabidopsis thaliana,2,ERS1147159,2,ERS1147159,Sample 10,,,,Pseudomonas syringae DC3000,,,,,,,,,,,,
