Category,Term
Annotation Cluster 1,Enrichment Score: 1.5527098383390239
Annotation Cluster 2,Enrichment Score: 1.3511256564676855
Annotation Cluster 3,Enrichment Score: 1.3489668435343156
Annotation Cluster 4,Enrichment Score: 1.111257745805441
Annotation Cluster 5,Enrichment Score: 1.017328213339477
Annotation Cluster 6,Enrichment Score: 0.8795378259776299
Annotation Cluster 7,Enrichment Score: 0.7764482129298738
Annotation Cluster 8,Enrichment Score: 0.6208365559775062
Annotation Cluster 9,Enrichment Score: 0.5971627919281557
Annotation Cluster 10,Enrichment Score: 0.5284468488168873
Annotation Cluster 11,Enrichment Score: 0.4492762051137505
Annotation Cluster 12,Enrichment Score: 0.4283515697797112
Annotation Cluster 13,Enrichment Score: 0.31824321995051924
