Genes	Bc24	Bc12	Bc18	Bc18.1	Bc12.1	Bc24.1
AT1G01010	8.577428828035746	6.539158811108031	7.0443941193584525	6.0443941193584525	6.9886846867721655	8.60733031374961
AT1G01020	7.228818690495879	7.149747119504683	7.400879436282184	6.918863237274595	7.3750394313469245	7.139551352398794
AT1G01030	5.7279204545632005	2.807354922057604	4.523561956057013	4.321928094887364	4.392317422778762	5.906890595608518
AT1G01040	10.167418145831736	10.047123912114026	10.251482410620213	9.812177305514448	10.382624026574916	10.200898605038443
AT1G01050	9.967226258835991	10.28424574982967	9.768184324776927	9.481799431665753	10.651948610723446	9.744833837499543
AT1G01060	6.6865005271832185	9.642051692927977	13.728664577579089	13.420091804602315	10.048486873992335	7.098032082960527
AT1G01070	7.055282435501192	6.491853096329675	6.599912842187128	5.78135971352466	6.768184324776926	6.807354922057604
AT1G01080	9.523561956057012	10.421012855779226	9.485829308701904	9.233619676759703	10.63026712502677	9.310612781659527
AT1G01090	11.240791332161958	10.417852514885896	10.787086324551618	10.422064766172811	10.658211482751797	11.102631888854964
AT1G01100	10.497851836951117	9.59618975614441	10.265615046484458	9.324180546618742	9.802516365121225	10.323054760341646
AT1G01110	6.857980995127572	3.4594316186372973	2.807354922057604	2.3219280948873617	4.247927513443585	6.807354922057604
AT1G01120	9.481799431665753	11.527477006060396	8.971543553950774	10.094077685671904	11.90388184573618	9.370687406807216
AT1G01130	4.754887502163468	4.0	3.9068905956085187	3.4594316186372973	4.584962500721156	4.523561956057013
AT1G01140	11.418906731257902	10.660887270302569	11.643856189774725	10.801708358916464	11.00982861736811	11.549303368513575
AT1G01150	2.0	0.0	0.0	0.0	0.0	1.0
AT1G01160	8.968666793195208	8.546894459887637	8.503825737995749	7.977279923499918	8.62935662007961	8.974414589805528
AT1G01170	8.51175265376738	9.753216749178957	9.37937836707126	9.087462841250339	10.084808387804364	8.214319120800766
AT1G01180	9.533329732305834	8.409390936137703	8.997179480937621	8.379378367071261	8.321928094887364	9.403012023574997
AT1G01190	5.857980995127572	1.584962500721156	0.0	1.584962500721156	3.3219280948873617	5.0
AT1G01200	3.700439718141092	3.584962500721156	1.0	1.0	2.3219280948873617	4.087462841250339
