Genes	Ch40.3	Ch40	Ch22	Ch22.1	Ch40.1	Ch22.2	Ch22.3	Ch40.2
AT1G01010	6.930737337562888	7.098032082960527	6.965784284662088	6.977279923499918	7.03342300153745	7.209453365628951	7.149747119504683	6.94251450533924
AT1G01020	6.7279204545632005	7.0	7.467605550082997	7.330916878114617	6.954196310386875	7.531381460516312	7.6438561897747235	6.954196310386875
AT1G01030	3.584962500721156	3.807354922057604	3.169925001442312	3.169925001442312	3.0	3.4594316186372973	3.0	3.4594316186372973
AT1G01040	9.262094845370179	9.339850002884623	9.7431513941125	9.842350343413807	9.262094845370179	10.055282435501187	10.080817527608328	9.303780748177102
AT1G01050	7.954196310386875	8.154818109052105	8.689997971419446	8.774787059601174	8.294620748891628	8.73809225962049	8.864186144654278	8.016808287686555
AT1G01060	9.016808287686557	9.038918989292304	7.366322214245818	7.467605550082997	8.89178370321831	8.562242424221072	8.467605550082997	8.933690654952233
AT1G01070	6.523561956057013	6.285402218862249	6.0	6.475733430966398	6.108524456778167	5.426264754702097	5.28540221886225	6.599912842187128
AT1G01080	7.011227255423254	7.266786540694902	8.118941072723509	8.08214904135387	7.339850002884624	8.108524456778168	8.103287808412023	7.294620748891628
AT1G01090	9.197216693110052	9.074141462752506	9.726218159332195	9.640244936222343	9.264442600226602	9.643856189774723	9.746514321138463	9.330916878114618
AT1G01100	9.243173983472953	9.710806433699352	9.754887502163466	9.771489469500601	9.61286849729104	10.066089190457774	9.987264012072536	9.243173983472953
AT1G01110	1.0	0.0	1.584962500721156	1.584962500721156	1.0	2.3219280948873617	2.0	1.584962500721156
AT1G01120	7.918863237274595	8.675957032941751	8.994353436858859	9.047123912114026	8.507794640198696	10.29232163280204	10.277287400130355	8.011227255423254
AT1G01130	2.0	3.0	3.3219280948873617	3.3219280948873617	2.584962500721156	3.807354922057604	3.807354922057604	2.0
AT1G01140	10.277287400130355	10.348728154231075	10.50084187955693	10.54882190845875	10.328674927327947	10.82097669262124	10.767356854125683	10.287712379549447
AT1G01150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT1G01160	7.9886846867721655	7.924812503605782	8.499845887083206	8.48784003382305	8.08214904135387	8.51175265376738	8.527477006060396	8.0
AT1G01170	7.734709620225838	8.087462841250339	8.933690654952233	8.810571634741146	8.199672344836364	8.79766152585376	8.876516946565	7.6438561897747235
AT1G01180	8.558420713268664	8.562242424221072	8.280770770130601	8.467605550082997	8.59618975614441	8.335390354693924	8.330916878114618	8.388017285345137
AT1G01190	1.584962500721156	0.0	1.0	0.0	1.584962500721156	0.0	1.0	1.0
AT1G01200	1.0	0.0	1.0	2.0	0.0	1.0	0.0	1.0
AT1G01210	5.7004397181410935	5.7279204545632005	5.906890595608518	6.129283016944966	5.832890014164741	6.189824558880018	6.303780748177103	5.614709844115208
AT1G01220	7.94251450533924	8.144658242831882	8.651051691178928	8.523561956057014	8.0	8.741466986401146	8.832890014164743	7.734709620225838
AT1G01225	1.0	1.0	0.0	1.0	0.0	2.3219280948873617	1.584962500721156	0.0
AT1G01230	8.087462841250339	8.243173983472952	8.703903573444663	8.693486957499324	8.430452551665532	8.707359132080883	8.543031820255237	8.066089190457772
AT1G01240	8.455327220304559	8.78135971352466	8.974414589805528	8.991521846075695	8.842350343413807	8.599912842187129	8.727920454563199	8.515699838284043
AT1G01250	4.459431618637297	4.700439718141092	5.954196310386875	6.108524456778167	4.906890595608519	5.930737337562888	5.857980995127572	4.954196310386875
