Genes	Ss30	Ss30.1	Ss30.2
AT1G01010	3.0	5.614709844115208	5.78135971352466
AT1G01020	5.1292830169449655	5.357552004618084	5.28540221886225
AT1G01030	4.459431618637297	5.087462841250339	5.392317422778762
AT1G01040	6.22881869049588	5.857980995127572	6.7414669864011465
AT1G01050	4.700439718141092	4.247927513443585	5.672425341971495
AT1G01060	1.584962500721156	2.0	1.0
AT1G01070	3.3219280948873617	2.3219280948873617	2.0
AT1G01080	5.7004397181410935	6.087462841250337	6.149747119504683
AT1G01090	8.581200581924957	8.668884984266247	9.501837184902298
AT1G01100	6.7414669864011465	6.569855608330947	7.554588851677637
AT1G01110	0.0	0.0	1.0
AT1G01120	11.51224664282918	12.283088353024	12.009478745888064
AT1G01130	0.0	2.3219280948873617	2.584962500721156
AT1G01140	9.214319120800766	9.136991112080231	9.513727595952435
AT1G01150	0.0	0.0	1.584962500721156
AT1G01160	5.7279204545632005	5.614709844115208	6.523561956057013
AT1G01170	0.0	1.0	3.0
AT1G01180	7.930737337562888	7.948367231584678	8.022367813028454
AT1G01190	0.0	0.0	0.0
AT1G01200	0.0	0.0	0.0
AT1G01210	2.0	2.807354922057604	2.807354922057604
AT1G01220	5.8826430493618425	5.754887502163467	6.475733430966398
AT1G01225	0.0	0.0	1.0
AT1G01230	7.977279923499918	8.129283016944967	8.214319120800766
AT1G01240	5.906890595608518	3.807354922057604	6.3923174227787625
AT1G01250	1.0	0.0	0.0
AT1G01260	9.167418145831736	9.41574176829009	9.556506054671928
AT1G01280	0.0	0.0	1.0
AT1G01290	2.584962500721156	3.3219280948873617	4.459431618637297
AT1G01300	3.700439718141092	5.20945336562895	4.584962500721156
AT1G01305	0.0	0.0	0.0
AT1G01310	0.0	0.0	0.0
AT1G01320	8.290018846932618	6.475733430966398	8.654636028527968
AT1G01340	9.194756854422248	9.240791332161956	9.620219825507489
AT1G01350	5.906890595608518	5.906890595608518	6.599912842187128
AT1G01355	0.0	0.0	0.0
AT1G01360	3.0	4.0	4.0
AT1G01370	0.0	3.0	2.807354922057604
AT1G01380	0.0	0.0	0.0
AT1G01390	1.0	2.0	0.0
AT1G01400	0.0	0.0	0.0
AT1G01420	2.0	0.0	2.0
AT1G01430	1.0	2.0	1.584962500721156
AT1G01440	8.370687406807217	9.087462841250339	8.807354922057604
AT1G01450	2.3219280948873617	2.584962500721156	3.4594316186372973
AT1G01453	0.0	0.0	0.0
AT1G01460	1.584962500721156	3.807354922057604	3.3219280948873617
AT1G01470	6.768184324776926	5.614709844115208	6.94251450533924
AT1G01480	10.13827180017222	9.791162888555018	10.429406741513981
AT1G01490	9.569855608330947	9.550746785383243	9.773139206719687
AT1G01500	6.954196310386875	7.118941072723508	7.209453365628951
AT1G01510	3.4594316186372973	2.3219280948873617	4.906890595608519
AT1G01520	0.0	0.0	0.0
AT1G01530	0.0	0.0	0.0
AT1G01540	3.3219280948873617	2.807354922057604	4.643856189774724
AT1G01550	11.350386742312846	11.399277924508967	11.605479518061669
AT1G01560	9.240791332161956	9.24555270625568	9.453270634010622
AT1G01570	0.0	0.0	1.584962500721156
AT1G01580	0.0	0.0	0.0
AT1G01590	0.0	0.0	0.0
AT1G01600	0.0	0.0	0.0
AT1G01610	0.0	1.584962500721156	1.0
AT1G01620	2.3219280948873617	2.0	3.3219280948873617
AT1G01630	4.857980995127573	4.807354922057604	5.20945336562895
AT1G01640	0.0	0.0	0.0
AT1G01650	7.219168520462161	7.011227255423254	7.693486957499325
AT1G01660	0.0	0.0	0.0
AT1G01670	0.0	0.0	2.0
AT1G01680	0.0	0.0	0.0
AT1G01690	0.0	0.0	0.0
AT1G01695	0.0	0.0	1.0
AT1G01700	1.0	0.0	0.0
AT1G01710	8.543031820255237	9.076815597050832	9.025139562278508
AT1G01715	2.0	3.169925001442312	4.0
AT1G01720	9.321928094887364	9.873444112515378	10.040289721025717
AT1G01725	2.584962500721156	3.3219280948873617	4.700439718141092
AT1G01730	7.266786540694902	6.7279204545632005	7.209453365628951
AT1G01740	7.149747119504683	8.379378367071261	8.134426320220928
