Genes	healthy30.1	healthy30	healthy12	healthy18.1	healthy18	healthy24.1	healthy12.1	healthy24	High_TPM
AT1G01060	0.3042448448015493	0.09968396300539492	15.111714694154658	715.2919222722079	600.1074576403132	11.610955350547322	21.15195157481176	14.058188415272234	1
AT1G02930	193.382147126324	349.8669615570259	663.3895400882133	168.10613052285876	140.0159726623342	535.614161434637	895.9765805962787	700.1271652452609	3
AT1G03130	259.5682995205649	312.3742859744301	764.5723929548834	1882.1285164645667	1877.5138204824093	3755.7796106130922	545.1364863322553	2987.5980681598967	5
AT1G03600	412.2678330485521	499.84861849671853	467.3047906159818	648.2073613094361	724.3483874557019	546.2718435827758	341.14340357855684	415.2940782039341	2
AT1G03680	408.56615856935326	391.79495781665497	859.6806317350853	743.4616778875197	737.1447916465091	624.6774353006508	924.9628184944473	609.9768527465848	5
AT1G05010	1517.909521149597	2502.038979151546	731.5126568346134	213.0603165078822	208.6287881164653	442.5384749491277	1048.0139917924894	665.3435908048269	5
AT1G06570	636.8675445725307	973.5809622893432	29.28848744384773	113.33829864783488	76.76662004896373	75.90043415240372	37.73972779385117	74.44246116821539	2
AT1G06680	1364.7198951012494	2326.6360870946464	2872.045050011921	4444.972143304171	4613.850276548026	4981.640782665965	2359.6771390306685	3831.6649178264283	8
AT1G07600	510.0812379862635	638.5991956114092	618.1412349991018	1324.6322721941112	1353.3353742309018	1322.37191035053	806.3339926208888	1689.4536055900198	6
AT1G07890	336.91835603611037	204.28716588327998	600.8949705548048	330.1349363499099	304.69968598527777	699.1748453111952	662.5246495361374	825.4089796007237	3
AT1G08380	290.50046368276	312.5786371075655	1799.093094207005	2930.1326225760217	3088.279234441509	5980.082141880341	1223.159372055071	4735.3638159418815	6
AT1G09310	145.29381588411766	123.97039149224169	2437.1818209061066	2202.798357892005	2319.24083968698	4057.6823139881517	2198.969363914633	3620.9857462544733	6
AT1G09340	152.16569632790743	135.7014551477909	885.2539606150111	891.4189135034796	989.4850581696879	497.6952045752512	819.312668779717	396.9405702908728	4
AT1G10960	217.12389726603303	130.76439683998524	600.0208585392294	714.5792921966298	784.8446654290967	646.6922464006228	583.6968437027283	498.767401787172	3
AT1G11260	759.0634774025377	1136.4817083236242	69.76005105828953	22.942174712570942	26.54482227230808	86.86099217846001	61.33629236283908	138.69617976263083	2
AT1G11860	604.5577989186933	536.1168821271691	1509.3300599257132	1345.4634994649566	1393.8288961594055	707.2579225459058	1425.7513067492873	561.3989358396518	5
AT1G11910	659.0561476894757	769.673369297104	356.93181527511916	335.47483801593575	256.1593229193811	278.7598641451645	357.79341182640695	376.2222025617188	2
AT1G12090	711.086476101406	346.8706954001554	280.5398477260342	139.13945928684436	144.63213596981242	1453.0944267438986	143.32651476280716	781.049174949874	3
AT1G12440	857.1587063262671	951.589599154784	131.8559617171251	141.4851172473572	122.5713084140446	94.70573354969406	134.21542693981993	120.19017663086092	2
AT1G12900	366.85222313053976	291.8138566685717	1434.179391352287	1915.2015603494165	2072.782019313004	1122.0368071373387	1235.92845924443	790.7279832746425	6
AT1G13440	537.0786694251372	540.1877638167387	476.4356809708077	635.2823974655051	835.9733549550203	484.8486004557485	346.66252328099336	761.2990383202624	3
AT1G13930	320.59711871532954	182.11386741409746	569.3106202493221	471.4384146663834	359.9857129978572	1963.2712589108191	497.5174140334928	1513.0178978351914	2
AT1G14880	24.02434899141589	51.00496107109373	1338.1450288491526	110.24942956135399	207.97155737429853	785.6742202708534	851.6202744469348	1399.9936990893661	4
AT1G15125	960.9951796445233	1495.9343240851215	79.16760018304026	65.53806067486806	48.292160009923194	86.69029250460758	169.60483147905487	127.7827932935182	2
AT1G15820	289.6593826303079	330.4010885512584	828.9793409320912	2626.098507376885	2748.148519589316	5498.256183515157	424.8247616169936	3881.676074552459	5
AT1G19570	197.74142668447843	344.5245821088952	371.4130931363988	195.85858879793946	200.88876247993758	908.3748116764312	604.5828163436676	867.8189886450423	2
AT1G19960	3.048122011554916	21.971367846009606	1007.8243628113756	549.9340718866973	480.78791258489866	1206.9683927234908	959.540599731129	1578.5270574098652	4
AT1G20020	322.43826985957367	382.91633311549555	968.4358836363645	763.5328889791775	804.507365259573	549.9988028375292	936.7259306195584	468.515801575194	4
AT1G20340	2332.0466134832527	2273.0603782099925	6815.8203791077185	9043.773156665247	9610.164276380709	6057.199854709696	5715.966602513055	4819.141699158153	8
AT1G20440	336.76645705605216	677.5330274199953	366.5875050898566	130.11108203905556	105.18761477482404	506.0745398178385	356.34848528662906	438.5842877451043	1
AT1G20450	121.77524266094211	294.54926831605843	427.1657117741021	213.8589938542701	213.48718370091797	872.743480087296	412.2697311862357	678.544197033708	2
AT1G20620	3407.66315496899	6884.767297711073	888.98524478768	387.3344029285485	332.20803189660813	2307.994841538603	723.4587948509312	2894.6759258297147	6
AT1G21130	513.6488904175636	718.0879088844646	474.22135895822635	170.23713751795188	130.88860333784152	444.7587737306773	494.5845704161948	542.0332956490713	1
AT1G21250	87.62230620784386	110.11801864172922	555.5832943674196	103.51800238210257	138.32662661347888	608.4050733508703	475.4282620986438	1052.5443459768173	1
AT1G21680	498.74272808584055	672.8759150072011	149.84630905087863	63.71206646322958	69.73589148168388	54.48536891917527	136.47026780817407	54.66615373159175	1
AT1G21770	643.8288462244302	692.3265538998952	248.95214327270568	183.66589234312764	171.3380411921911	195.9584007475159	209.03800709185444	247.79501131918727	2
AT1G23130	6519.101466148985	6005.155908660235	3672.7192025220006	4212.343329228694	3805.910564178035	2753.448814313013	3655.3836694316838	3720.2578219466172	8
AT1G23310	1551.7093243190493	1840.4290119819652	2711.132043564155	3410.824853115174	3288.8601273709155	2038.6216350125671	2733.032661656669	2089.8178178478875	8
AT1G27020	904.3481612265506	929.1046564185702	132.93035351615256	64.06842265687347	39.25740903438907	7.203624831915485	362.6135409037226	30.69292584010977	2
AT1G28330	2672.4925396046524	2870.0533981098674	128.06614246568873	38.69307913267843	19.876746266826785	6.763107222361832	158.40883317496494	11.046781183846393	2
AT1G29395	185.31415782383357	634.9797538532731	147.4718233888132	56.28848544797546	43.659813756050454	294.0674480335615	173.9535903966913	206.8717878455838	1
AT1G29910	257.7986561638384	585.3199916945849	195.7483672630793	1903.6623796598942	2094.5232629114253	7233.142613527654	63.83961074996811	4359.058083099704	4
AT1G29920	29.36010914114996	74.98490545526465	66.11766755047715	5320.611683343255	5269.8816875633975	8606.324240428996	23.02095054317032	5790.892890041626	4
