Genes	healthy30.1	healthy30	healthy12	healthy18.1	healthy18	healthy24.1	healthy12.1	healthy24	zero-counter
AT1G01020	175	163	108	117	224	92	267	145	0
AT1G01030	20	25	13	13	35	16	22	9	0
AT1G01040	2541	2492	1027	1324	2376	638	2296	1018	0
AT1G01050	1531	1804	850	1217	2664	406	1851	684	0
AT1G01060	11	4	288	18184	32522	219	835	386	0
AT1G01070	39	106	42	172	311	61	80	216	0
AT1G01080	1280	1131	975	981	2124	429	1927	494	0
AT1G01090	5079	6032	1281	1799	3912	962	2801	1371	0
AT1G01100	1458	1088	483	503	1319	399	1060	581	0
AT1G01110	8	31	10	10	22	14	10	22	0
AT1G01120	480	141	1800	3113	6803	1508	2585	1894	0
AT1G01130	21	36	12	11	22	2	15	5	0
AT1G01140	3531	4742	1731	1783	4134	1379	3948	2240	0
AT1G01150	0	0	0	0	1	0	0	0	7
AT1G01160	949	1088	235	286	525	227	647	324	0
AT1G01170	2073	2346	502	669	1355	370	1135	591	0
AT1G01180	651	700	231	265	480	184	536	386	0
AT1G01190	1	0	4	1	8	1	1	3	1
AT1G01200	1	0	9	9	14	3	0	4	2
AT1G01210	164	136	60	92	167	48	155	72	0
AT1G01220	578	395	596	711	1447	257	1233	408	0
AT1G01225	6	3	17	19	46	11	16	12	0
AT1G01230	517	648	246	243	478	249	523	381	0
AT1G01240	809	818	166	218	325	641	315	950	0
AT1G01250	10	13	67	119	142	58	122	59	0
AT1G01260	338	559	135	141	359	352	360	372	0
AT1G01290	274	203	128	158	270	109	304	169	0
AT1G01300	1229	1123	764	279	548	228	1526	389	0
AT1G01310	27	1	0	0	0	0	0	0	6
AT1G01320	12020	10789	7392	11219	24060	2891	15256	4156	0
AT1G01340	871	549	421	195	495	159	1059	329	0
AT1G01350	531	546	179	213	435	161	400	239	0
AT1G01355	5	27	5	14	22	4	29	15	0
AT1G01360	329	337	301	479	712	139	641	267	0
AT1G01370	1	1	11	6	22	7	17	7	0
AT1G01380	3	0	7	15	10	2	8	1	1
AT1G01390	220	204	130	441	1138	77	256	165	0
AT1G01420	147	183	220	432	650	194	487	300	0
AT1G01430	909	737	542	737	1450	600	1034	852	0
AT1G01440	458	590	320	315	599	313	688	614	0
AT1G01450	611	606	136	128	229	101	304	129	0
AT1G01453	1	3	1	1	0	5	7	6	1
AT1G01470	1160	1488	1148	784	2185	1891	2408	2353	0
AT1G01480	1	2	1	1	2	0	3	5	1
AT1G01490	3633	4395	521	1251	1863	534	1442	827	0
AT1G01500	262	435	107	96	126	138	282	227	0
AT1G01510	531	617	256	372	691	183	579	270	0
AT1G01520	3	0	13	542	747	16	28	29	1
AT1G01530	0	0	4	0	4	0	4	3	4
AT1G01540	2067	1756	1032	1465	2665	566	1994	753	0
AT1G01550	4972	5198	2211	2505	4724	2198	5090	3930	0
AT1G01560	26	72	160	22	131	163	256	315	0
AT1G01570	15	10	14	12	23	12	20	17	0
AT1G01580	20	27	17	116	163	15	28	29	0
AT1G01590	7	3	42	65	128	9	90	22	0
AT1G01600	5	8	5	2	3	3	9	2	0
AT1G01610	788	381	758	750	1936	344	1211	375	0
AT1G01620	3033	4493	899	1788	3948	943	1084	1165	0
AT1G01630	336	278	708	525	1220	668	1325	1003	0
AT1G01640	81	110	33	42	93	8	53	20	0
AT1G01650	1219	1257	622	528	1098	557	1298	790	0
AT1G01660	37	20	26	19	41	18	38	20	0
AT1G01670	85	68	49	40	103	37	138	98	0
AT1G01680	15	10	194	35	185	127	412	239	0
AT1G01690	20	13	18	24	44	19	47	41	0
AT1G01695	5	0	5	2	6	2	10	3	1
AT1G01700	41	64	30	33	65	36	83	41	0
AT1G01710	1069	1140	483	530	988	467	1002	633	0
AT1G01715	47	32	14	18	25	9	22	16	0
AT1G01720	537	572	139	279	545	176	388	162	0
AT1G01725	242	282	77	111	130	67	213	106	0
AT1G01730	761	970	269	275	454	188	657	313	0
AT1G01740	155	145	95	141	264	94	233	116	0
AT1G01750	33	26	14	7	16	6	19	11	0
AT1G01760	83	85	30	42	61	17	67	31	0
AT1G01770	1391	2080	248	289	626	141	582	203	0
AT1G01780	473	654	122	110	209	48	231	70	0
AT1G01790	2755	2546	5609	7855	15873	2594	11293	3708	0
AT1G01800	1457	1323	979	1021	2124	691	2155	1131	0
AT1G01810	7	4	1	6	2	0	2	6	1
AT1G01820	2820	3565	646	722	1295	478	1651	864	0
AT1G01830	426	412	388	576	941	246	846	423	0
AT1G01840	1	2	10	15	31	14	12	12	0
AT1G01860	426	382	135	221	401	95	380	98	0
AT1G01880	11	27	19	12	29	8	32	10	0
AT1G01900	14	7	40	14	41	6	9	13	0
AT1G01910	766	614	323	373	805	332	741	528	0
AT1G01920	534	396	149	83	198	142	282	202	0
AT1G01930	409	414	135	169	307	134	291	190	0
AT1G01940	148	195	83	61	120	41	146	90	0
AT1G01950	407	496	226	377	619	169	526	259	0
AT1G01960	2468	2702	1272	1169	2475	1034	2468	1628	0
AT1G01970	432	307	464	605	1243	182	950	254	0
AT1G01990	698	680	268	329	651	196	608	326	0
AT1G02000	255	231	123	169	356	105	272	147	0
AT1G02010	343	357	159	330	570	112	397	128	0
AT1G02020	578	664	269	365	623	230	638	368	0
AT1G02030	2	0	1	1	2	0	1	1	2
AT1G02040	0	1	0	1	0	0	1	1	4
AT1G02050	509	490	55	67	107	32	126	46	0
AT1G02060	573	586	82	83	172	35	113	82	0
AT1G02065	3	0	0	0	0	0	0	0	7
AT1G02070	5	6	0	2	3	0	1	1	2
AT1G02080	3250	3564	2233	2376	4824	1631	4223	2691	0
AT1G02090	364	331	214	209	510	203	408	295	0
AT1G02100	1369	1552	436	573	1050	288	1002	409	0
AT1G02110	584	698	180	296	548	118	414	128	0
AT1G02120	3177	3507	1321	1444	2786	957	2921	1669	0
AT1G02130	576	542	321	371	685	313	747	466	0
AT1G02140	1076	1071	494	607	1278	449	1145	794	0
AT1G02145	503	615	272	325	594	227	568	342	0
AT1G02150	2935	3324	844	1074	2614	612	1701	844	0
AT1G02160	308	258	121	132	189	75	229	96	0
AT1G02170	805	937	546	364	738	416	1140	780	0
AT1G02180	7	3	50	55	141	11	73	23	0
AT1G02190	0	0	3	0	13	0	0	1	5
AT1G02205	5	1	80	14	108	70	11	46	0
AT1G02220	18	12	15	51	107	34	32	118	0
AT1G02230	1	5	11	1	5	11	8	47	0
AT1G02250	0	0	6	0	0	0	0	0	7
AT1G02260	718	697	346	290	466	164	768	307	0
AT1G02270	312	333	327	283	517	525	895	652	0
AT1G02280	2199	2137	340	497	1284	130	618	208	0
AT1G02290	119	149	108	110	210	92	230	142	0
AT1G02300	965	1026	349	207	303	530	951	730	0
AT1G02305	4431	5630	1458	1454	2830	959	3117	1757	0
AT1G02310	0	1	0	2	2	0	3	1	3
AT1G02330	418	426	182	191	452	218	400	349	0
AT1G02335	23	20	27	36	41	11	10	26	0
AT1G02340	4	246	1	0	12	156	3	206	1
AT1G02350	17	120	7	9	28	100	16	56	0
AT1G02360	79	125	89	48	111	84	121	144	0
AT1G02370	194	139	66	54	86	83	95	133	0
AT1G02380	18	21	7	19	49	20	20	23	0
AT1G02390	12	4	115	258	309	228	288	286	0
AT1G02400	112	169	46	12	50	121	116	70	0
AT1G02405	6	5	4	4	27	11	14	6	0
AT1G02410	202	197	279	329	690	246	549	418	0
AT1G02420	77	74	38	37	81	30	85	51	0
AT1G02430	23	22	18	27	43	7	42	19	0
AT1G02440	1	2	4	0	5	7	3	22	1
AT1G02450	0	2	80	2	14	49	98	154	1
AT1G02460	45	22	5	2	14	15	17	27	0
AT1G02470	220	182	33	65	31	23	49	63	0
AT1G02475	1374	1129	1172	1492	2820	825	2635	1313	0
AT1G02490	0	0	1	0	0	0	0	0	7
AT1G02500	6494	6736	3205	3759	7800	1956	6799	3081	0
AT1G02520	15	17	21	3	9	2	13	16	0
AT1G02530	4	0	0	1	1	0	0	1	4
AT1G02560	4173	4870	3411	4818	8557	4100	7963	7627	0
AT1G02570	0	0	0	0	0	1	0	0	7
AT1G02580	2	1	1	0	0	0	1	0	4
AT1G02610	240	453	32	64	87	117	84	251	0
AT1G02620	73	125	1	0	2	2	1	6	1
AT1G02630	0	0	0	1	1	0	0	2	5
AT1G02640	665	326	26	32	48	19	16	83	0
AT1G02650	75	25	5	2	2	0	2	7	1
AT1G02660	794	1228	74	44	85	207	170	244	0
AT1G02670	26	23	8	2	5	7	16	6	0
AT1G02680	272	374	81	87	143	69	167	106	0
AT1G02690	88	90	21	19	56	16	32	26	0
AT1G02700	37	21	7	8	19	0	6	1	1
AT1G02705	0	0	0	0	1	0	0	0	7
AT1G02720	69	21	51	62	134	30	60	41	0
AT1G02730	7	1	52	63	164	18	48	24	0
AT1G02740	166	223	78	83	173	106	241	193	0
AT1G02750	286	385	132	162	336	101	301	168	0
AT1G02770	0	1	10	23	27	12	63	31	1
AT1G02780	6145	4800	2342	2647	6530	2022	5039	3374	0
AT1G02800	2	0	2	1	0	0	2	0	4
AT1G02810	0	0	0	1	0	0	1	0	6
AT1G02816	298	188	81	161	250	99	168	157	0
AT1G02820	4	5	8	123	239	61	9	88	0
AT1G02840	4537	4800	576	656	1244	442	1280	692	0
AT1G02850	1382	1559	370	378	272	235	1108	426	0
AT1G02860	392	491	128	141	302	93	322	155	0
AT1G02870	505	400	80	85	185	79	172	107	0
AT1G02880	189	198	340	429	716	259	698	384	0
AT1G02890	4281	4035	1494	1565	2985	1049	3423	1698	0
AT1G02900	54	35	6	2	7	1	8	1	0
AT1G02910	1146	980	861	1091	2212	534	1909	764	0
AT1G02920	1955	3192	2292	536	1689	1251	3962	2376	0
AT1G02930	1888	3791	3414	1154	2049	2728	9551	5191	0
AT1G02940	1	2	12	13	29	4	38	5	0
AT1G02950	24	23	22	28	72	14	13	18	0
AT1G02960	731	908	271	301	481	203	591	272	0
AT1G02970	0	0	18	14	28	5	20	6	2
AT1G02990	421	442	401	463	851	363	884	565	0
AT1G03000	738	781	359	422	750	365	832	535	0
AT1G03010	158	120	13	6	7	1	8	22	0
AT1G03020	7	0	3	12	50	6	10	7	1
AT1G03030	300	293	241	214	360	149	480	268	0
AT1G03040	871	926	412	463	828	235	832	417	0
AT1G03050	0	0	0	0	1	0	0	1	6
AT1G03055	5	1	40	179	397	112	102	162	0
AT1G03060	2126	2467	1494	1498	3083	748	2666	1322	0
AT1G03070	1	2	5	8	12	2	6	13	0
AT1G03080	2748	3763	1403	1538	3363	1042	3198	1925	0
AT1G03090	20556	32018	322	325	707	202	614	262	0
AT1G03100	53	81	45	41	72	8	86	25	0
AT1G03110	74	48	27	28	85	27	72	41	0
AT1G03120	0	1	0	0	0	0	1	0	6
AT1G03130	1880	2511	2919	9585	20383	14191	4311	16433	0
AT1G03140	1847	2995	378	478	1020	480	729	782	0
AT1G03150	318	707	91	97	228	133	209	189	0
AT1G03160	1458	1567	1150	1284	2678	766	2340	1022	0
AT1G03165	25	9	6	3	7	5	19	4	0
AT1G03170	7	25	3	4	6	0	8	2	1
AT1G03180	7	4	12	9	28	10	23	18	0
AT1G03190	246	285	115	141	287	121	283	189	0
AT1G03200	232	241	21	23	36	19	58	37	0
AT1G03210	902	1229	196	121	310	183	431	422	0
AT1G03220	239	431	156	121	318	649	235	585	0
AT1G03230	108	101	105	60	214	127	181	179	0
AT1G03240	0	0	0	0	0	0	1	0	7
AT1G03250	376	334	218	277	578	209	442	330	0
AT1G03260	161	156	71	84	186	50	164	87	0
AT1G03270	46	36	35	29	60	28	64	27	0
