Genes	healthy30.1	healthy30	healthy12	healthy18.1	healthy18	healthy24.1	healthy12.1	healthy24
AT1G01020	3.2451159067184308	3.021122005171839	3.4502216120433227	3.180246910480416	3.043127419045928	3.2550541126718144	3.683883791310694	3.3580694358123786
AT1G01030	1.3655939812499829	1.4729757388630913	1.5579773397734713	1.2972926052495661	1.5063745205067638	1.7731763638691862	1.3721613752689394	0.9518450826000537
AT1G01040	4.884406562078545	4.712363798196599	4.516026332934402	4.469014815377545	4.232778230730742	3.8810977203192483	4.621488268458255	4.00485173546917
AT1G01050	6.670352461330312	6.755886433442509	6.744493892039096	6.8457043718701485	6.883583738810558	5.707820066737383	6.816023257192957	5.914833949661176
AT1G01070	1.4181945399140683	2.3493236422461847	2.143063632048463	3.522367676141976	3.307115992321354	2.588442660474222	2.0503803702139405	3.722187125737736
AT1G01080	6.417010843325312	6.092414918879778	6.942929242236435	6.539930765119632	6.562092903908609	5.788037005789536	6.875790979886549	5.456705901193649
AT1G01090	8.209379678342183	8.306784496679224	7.151205993173942	7.224957306214846	7.253421148825298	6.7562241748717415	7.228758671819734	6.72588429633127
AT1G01100	7.535300327955015	6.966405029733495	6.8697924841761635	6.5161242069525285	6.811929430585632	6.611556187522378	6.95248474860472	6.611955515478389
AT1G01110	0.379738809943625	1.0365378416986208	0.7773980052667455	0.6185158794442174	0.6345240619309374	1.0072452155589777	0.42730305048428996	1.0637412088194398
AT1G01120	4.737808934047686	2.9630019438034467	7.52126287255719	7.894110259632155	7.929769407248438	7.282282918175127	6.996315938163239	7.0708102134297794
AT1G01130	0.9523751558385165	1.2894175878653473	1.0098165596456137	0.7626339125882404	0.7255447738941686	0.22737529619722174	0.6885888113758631	0.3708970440970737
AT1G01140	6.603652143720054	6.876125834457128	6.500094298997704	6.131825594458281	6.251341214728671	6.1909252276063285	6.63756253562332	6.347003970349168
AT1G01160	5.975861575924899	6.021959956564494	4.911554159387422	4.7838411057011685	4.576509199082728	4.877719978269601	5.310155096794302	4.850252314564674
AT1G01170	9.023034782340842	9.051096289903978	7.9041308396698255	7.902791212463491	7.8292648179365205	7.480988898397577	8.029974778300287	7.6141599019660635
AT1G01180	5.926576920245352	5.8816690980136705	5.367079919261194	5.155193909650504	4.927323340557182	5.062301647408155	5.527080346534648	5.576173912836724
AT1G01190	0.06526010053859371	0.0	0.4341799758744356	0.09195115929061194	0.31842667157959925	0.12260714664080055	0.05988202736246189	0.24220071953549105
AT1G01200	0.08316230593817993	0.0	1.0094358809461492	0.8151760834611345	0.6361864221049225	0.423553810359581	0.0	0.3923575774689292
AT1G01210	4.710495144328607	4.308562805654141	4.207717909118291	4.398534759700533	4.178499605299564	3.919142027731079	4.5108107844433105	3.9595414396172566
AT1G01220	3.7975701388811225	3.1613191465514965	4.713984089351786	4.559337886145613	4.495325641789888	3.5848904184777153	4.71225712711712	3.6999277054881703
AT1G01225	0.5181543848067156	0.256618712027574	1.732359825198898	1.558821578394331	1.682669142027333	1.332617407253575	1.0394045672034908	1.0962717714128885
AT1G01230	4.989297163208257	5.159548124927422	4.846476923128753	4.430575017162235	4.320162389462933	4.877806020667655	4.882756015258821	4.947317825204134
AT1G01240	6.128657630596451	5.996262752222443	4.799490424810691	4.777785993134761	4.284275391507943	6.724536475726125	4.677811590705578	6.75015131753945
AT1G01250	1.3024816560135948	1.4424306214049807	4.295754439813516	4.690413563410909	3.8965745720009908	4.113088373231397	4.11988751944377	3.631501754269033
AT1G01260	4.103278740777824	4.650858490080782	3.7296053351906115	3.406508085145436	3.6404275982275287	5.05807415682769	4.0695739956899954	4.6123098907374
AT1G01290	4.603626634442143	4.049816748049186	4.436989045335309	4.330466634864336	4.02908247890442	4.230893733103775	4.625792220077408	4.317141094130619
AT1G01300	6.181407054262392	5.905172074772838	6.416338235334117	4.5914929017439015	4.478443780712633	4.725361234295767	6.364490222250712	4.946324871614158
AT1G01320	6.916736681691234	6.613314090459059	7.137426950907554	7.322428754724147	7.331009837523125	5.813586689114731	7.132220374413886	5.795791923237758
AT1G01340	4.775335986672788	3.998634939658337	4.6550432364555	3.2328522313266603	3.45995182693058	3.355137493408903	4.925125185547293	3.8200367212515642
AT1G01350	5.224613147845379	5.117493240681762	4.601245450357069	4.4436485532253975	4.384656205159466	4.469255137264741	4.70635265856213	4.49619761853027
AT1G01355	0.4875329779229821	1.5637224908879324	0.8178041680526686	1.3790767436049272	1.1244484491586215	0.6929054442329625	1.6487788870314577	1.3719543625862174
AT1G01360	5.207647586819363	5.095197162674016	5.986478027492379	6.237390209500677	5.725462319637247	4.912536258004283	6.0258329217432145	5.300898972630771
AT1G01370	0.07335031098681806	0.0662541984630573	1.0624143115540152	0.5311401995339179	0.820095890165704	0.765408658846433	0.8576437455159561	0.5663332382584291
AT1G01380	0.6205090270778203	0.0	1.756561010269233	2.2695118711423996	1.134300348137958	0.7542667221700871	1.2094810376835852	0.3055456240696918
AT1G01390	3.75529040987215	3.516872344413144	3.90851639814893	5.195614404516001	5.464344839122357	3.2309482051923153	3.840538920190201	3.7386044091782966
AT1G01420	3.2598351633539147	3.4090630424165402	4.664297884123508	5.203799118352222	4.717374357911763	4.504751285313571	4.756470871041773	4.588180730836194
AT1G01430	5.635983372208525	5.193661858441288	5.810425268793591	5.83764384410404	5.724008267439465	5.969325006484141	5.693915867252291	5.9340493008798685
AT1G01440	4.17149145166248	4.375363163248231	4.55821773144279	4.1414157297297844	3.986424374918676	4.5419893499342505	4.6097290544495335	4.956258127490842
AT1G01450	5.2371455378286695	5.07946808855494	4.044783204272421	3.5776784555436456	3.347787857168903	3.659277406217506	4.148239194265743	3.48641858454903
AT1G01453	0.12400905741166084	0.3133898493788335	0.2268560957440354	0.1733269940627895	0.0	0.895521716122863	0.6557659737103055	0.773282376964097
