sample	mean	std	25%	50%	75%	max	Zeros	ID
SRR364390	324.652	1484.601	0.0	54.0	286.5	149420.0	7229.0	Ch22
SRR3383780	416.245	1962.706	0.0	55.0	335.0	165685.0	7549.0	Bc18
SRR364399	316.06	1399.12	0.0	38.0	230.5	71327.0	7090.0	Ch40.3
SRR3383696	399.483	2197.555	0.0	57.0	315.0	196583.0	7518.0	Bc12
SRR364392	324.259	1348.84	0.0	58.0	296.0	110046.0	7219.0	Ch22.3
SRR3383779	312.439	1682.557	0.0	42.0	238.0	162222.0	7719.0	Bc18.1
SRR364400	296.007	1212.296	0.0	43.0	236.5	73677.0	7053.0	Ch40.1
SRR6283147	220.021	1785.177	0.0	3.0	50.0	113794.0	10600.0	Ss30.1
SRR10586397	662.24	2641.54	2.0	110.0	551.0	180982.0	5627.0	Bc24
SRR364389	329.288	1504.545	0.0	55.0	290.5	151388.0	7164.0	Ch22.1
SRR10586399	653.314	2662.126	2.0	103.0	533.0	199489.0	5703.0	Bc24.1
SRR364401	296.197	1212.292	0.0	43.0	238.0	73958.0	7011.0	Ch40
SRR6283146	260.057	1865.006	0.0	6.0	80.0	114584.0	9657.0	Ss30.2
SRR364391	328.418	1368.635	0.0	59.0	299.0	111911.0	7185.0	Ch22.2
SRR364398	315.555	1396.94	0.0	38.0	229.0	71578.0	7117.0	Ch40.2
SRR3383697	494.306	2870.37	0.0	68.0	375.0	257238.0	7375.0	Bc12.1
SRR6283148	197.211	1592.985	0.0	3.0	47.0	103932.0	10866.0	Ss30
