,count,mean,std,min,25%,50%,75%,max
Bc12,20265,3.4645509678938,2.13925872233633,0,1.77727793966105,3.58144032153694,4.94038904729312,9.6540134267806
Ch40.2,20265,3.39721205831522,2.14978770161177,0,1.63803838878661,3.38580396292402,4.91590775731751,9.64965037846535
Ch22.2,20265,3.71034271805039,2.10333532706969,0,2.12092765910135,3.90977547381386,5.20449810788936,9.69748681632128
Ch22.1,20265,3.65270911590704,2.10515191080246,0,2.02248180877919,3.83539670800479,5.15167478597898,9.56667670654209
Ch22,20265,3.65134982294842,2.10792830723284,0,2.00646006532784,3.82771245039652,5.15588139487276,9.59509056936484
Ch22.3,20265,3.71275282004916,2.10286383284527,0,2.126383585254,3.9180418088103,5.20346045627856,9.68260048263787
Bc12.1,20265,3.42424372484016,2.13561104457282,0,1.72094753425924,3.54421849633303,4.89710963653191,9.69719665091414
Bc24.1,20265,3.63113835012018,2.02441706401734,0,2.0822219651202,3.7110173914769,5.06126807856183,9.56531487358761
Bc18.1,20265,3.40559642241264,2.12466423346239,0,1.65614535646605,3.53615276433465,4.89402319797876,9.66541752729983
Ch40.3,20265,3.39724981868137,2.1493996309448,0,1.62896873843852,3.39497835680725,4.91995793914654,9.67088470520312
Ch40.1,20265,3.53308045785328,2.11449559916242,0,1.86442285680836,3.59732978764041,5.02834476453538,9.68451800464288
Bc18,20265,3.42717860907188,2.15523800598751,0,1.62635809994143,3.57412339455545,4.96049163665653,9.68466847509203
Bc24,20265,3.67348521352353,2.00913244189068,0,2.16648132417872,3.76845140948501,5.0877506023725,9.68716862044365
Ch40,20265,3.53629268621733,2.11119894022647,0,1.85818568821092,3.5946163995631,5.03000077000186,9.67401210471446
