,count,mean,std,min,25%,50%,75%,max
Ss30.1,20265.0,20.84546200757425,65.72622945959691,0.0,0.15794164202954153,1.6435004617652111,11.12837442688907,826.4673698192299
Bc12,20265.0,31.009366576395067,64.69907260720451,0.0,2.427788129450117,10.97073907033191,29.704730755762853,804.652241999175
Ch40.2,20265.0,30.86404751843721,65.65375116886159,0.0,2.1124235238438813,9.452701594930794,29.188093807990473,802.2194411169929
Ch22.2,20265.0,33.353086378764125,61.89320395166635,0.0,3.3497354496452525,14.030024687270544,35.87313325233538,829.2988076754002
Ch22.1,20265.0,32.38430999487013,60.33748800766441,0.0,3.0628210145049075,13.27478100805313,34.547465262100445,757.3272240359462
Ch22,20265.0,32.397340310570854,60.40139554767807,0.0,3.0179512651513565,13.198951061730352,34.65126578631716,772.4105153720711
Ss30.2,20265.0,22.742126092197157,65.08706085613035,0.0,0.2923362714548137,2.512808954009715,14.210311816393187,799.1716404967825
Ch22.3,20265.0,33.38254477521881,61.82243964592563,0.0,3.3662162480087123,14.116390717455886,35.84662196017786,820.7754849042891
Bc12.1,20265.0,30.24770040476321,63.58050855498755,0.0,2.2965284544960283,10.665841689840066,28.79729857197362,829.131828682492
Bc24.1,20265.0,30.764044331263232,57.4139258456063,0.0,3.234589039951975,12.095664770817473,32.38823854892036,756.6117382873758
Bc18.1,20265.0,29.000576078609082,58.712307164622715,0.0,2.151733076101796,10.600802985771047,28.733619677299853,811.0459343697419
Ch40.3,20265.0,30.849954050774116,65.60415872489568,0.0,2.0929183290709723,9.519384269516232,29.27296209345805,814.1290684771096
Ch40.1,20265.0,31.585182030727704,62.222978293202054,0.0,2.6412223895135605,11.10331037441042,31.63492377562519,821.8684534071574
Bc18,20265.0,29.892132407730383,60.088856390610616,0.0,2.0873265787641166,10.910180682528601,30.135566780946412,821.9542815547886
Bc24,20265.0,31.142326270769694,57.5832562305018,0.0,3.489271421182609,12.62752261629115,33.00678234394053,823.3816720217369
Ss30,20265.0,20.79552028676744,64.13181166859081,0.0,0.1557911443545344,1.758265272211816,11.468088417262145,820.6412308924347
Ch40,20265.0,31.60141706945975,62.20382230349351,0.0,2.625514360310296,11.080568136303633,31.67240546069269,815.8979795945993
