ID,count,mean,std,min,25%,50%,75%,max
Bc12,14424.0,7.845974488180129,2.192881391941737,1.0,6.658211482751795,8.03342300153745,9.248520239559273,17.584786379736883
Bc12.1,14424.0,8.094494450602081,2.229694191581829,1.0,6.894817763307944,8.292319797912123,9.512246389313646,17.972749860653227
Bc18,14424.0,8.02132077951823,2.1616437062378786,1.0,6.820178962415187,8.204571144249204,9.419960177847887,17.338092178481546
Bc18.1,14424.0,7.555876323248341,2.12933188005043,1.0,6.339850002884624,7.686500527183218,8.93663793900257,17.30761885400159
Bc24,14424.0,8.836447679762498,2.0217189916838025,1.0,7.592457037268081,8.918863237274595,10.158609688214476,17.46549466363738
Bc24.1,14424.0,8.794347496690039,2.037513873681451,1.0,7.539158811108031,8.876516946565,10.116343961237467,17.605956903531055
Ch22,14424.0,7.914826544275238,1.9717498624996874,1.0,6.778065866337727,8.022367813028454,9.200285214584888,17.189023396772658
Ch22.1,14424.0,7.936393104468396,1.9699593424371196,1.0,6.794415866350106,8.044394119358454,9.224001674198103,17.207900856629784
Ch22.2,14424.0,7.956971697280951,1.9649563504753647,1.0,6.832890014164741,8.076815597050832,9.240791332161956,16.772005215061053
Ch22.3,14424.0,7.941058357318058,1.9601659677381478,1.0,6.820178962415187,8.055282435501187,9.221587121264808,16.747760290778356
Ch40,14424.0,7.694350121798002,2.000658223273651,1.0,6.459431618637298,7.734709620225838,9.005624549193879,16.174438097736743
Ch40.1,14424.0,7.691129789721045,2.004863952797421,1.0,6.442943495848727,7.7279204545632,9.006325567413054,16.168946279344013
Ch40.2,14424.0,7.641377711996748,2.089268965160524,1.0,6.339850002884624,7.686500527183218,9.011227255423254,16.12724876816099
Ch40.3,14424.0,7.641902249085228,2.092401004729949,1.0,6.339850002884624,7.686500527183218,9.019590728357883,16.12218090125975
Ss30,14424.0,5.478157901942869,2.738244575994143,1.0,3.3219280948873617,5.3219280948873635,7.383704292474053,16.665294274755347
Ss30.1,14424.0,5.552517797351833,2.7795086950312258,1.0,3.3219280948873617,5.357552004618084,7.475733430966398,16.79607764338467
Ss30.2,14424.0,6.177457445285686,2.6375929055656115,1.0,4.169925001442312,6.066089190457772,7.994353436858858,16.806058671742843
