ID,count,mean,std,min,25%,50%,75%,max
Bc12,24239.0,455.7779198811832,2341.8371069445902,0.0,4.0,100.0,373.0,196583.0
Bc12.1,24239.0,563.9637773835555,3059.560453480836,0.0,5.0,118.0,447.0,257238.0
Bc18,24239.0,474.90090350261977,2089.8023597450624,0.0,4.0,99.0,398.0,165685.0
Bc18.1,24239.0,356.46792359420766,1792.8442217464312,0.0,3.0,72.0,287.0,162222.0
Bc24,24239.0,755.5533644127233,2809.028596350861,0.0,18.0,177.0,663.0,180982.0
Bc24.1,24239.0,745.3694459342382,2831.448303086728,0.0,17.0,168.0,642.0,199489.0
Ch22,24239.0,370.3998927348488,1580.418886024598,0.0,5.0,92.0,344.0,149420.0
Ch22.1,24239.0,375.6893023639589,1601.6404253495461,0.0,5.0,94.0,349.0,151388.0
Ch22.2,24239.0,374.6961920871323,1455.9589220351047,0.0,5.0,99.0,357.0,111911.0
Ch22.3,24239.0,369.9506992862742,1434.8801024804593,0.0,5.0,98.0,354.0,110046.0
Ch40,24239.0,337.9341556994926,1289.4471600268143,0.0,5.0,74.0,288.0,73958.0
Ch40.1,24239.0,337.7179339081645,1289.4588676989679,0.0,5.0,74.0,287.0,73677.0
Ch40.2,24239.0,360.0205866578654,1486.7613377624773,0.0,4.0,65.0,281.0,71578.0
Ch40.3,24239.0,360.59684805478776,1489.0813237457548,0.0,4.0,66.0,279.0,71327.0
Ss30,24239.0,225.00354800115517,1699.7022481816014,0.0,0.0,6.0,66.0,103932.0
Ss30.1,24239.0,251.02599117125294,1904.7873833600536,0.0,0.0,7.0,70.0,113794.0
Ss30.2,24239.0,296.7041132059903,1989.3675392448233,0.0,0.0,12.0,108.0,114584.0
