,count,mean,std,min,25%,50%,75%,max
Ss30.1,20274.0,21.01068767149653,66.62668225316496,0.0,0.15813719554231137,1.6459631514730926,11.136615051134095,831.9138707718092
Bc12,20274.0,31.1747341841032,65.59054660341525,0.0,2.4278886464926983,10.978354463698011,29.794245622318847,843.1548644479037
Ch40.2,20274.0,30.955593781005508,66.0376361936209,0.0,2.1144223025228364,9.467856814818894,29.245128592723383,832.4369319648063
Ch22.2,20274.0,33.434493044389114,62.076645178417785,0.0,3.351957097244513,14.042197969025892,35.90585054659718,829.2988076754002
Ch22.1,20274.0,32.457798580110364,60.50172603214571,0.0,3.063812200723187,13.285695707578007,34.60687352837705,757.3272240359462
Ch22,20274.0,32.47202519566688,60.57224134665888,0.0,3.020458156585563,13.208696539498499,34.6715402140761,772.4105153720711
Ss30.2,20274.0,22.901551101806568,65.91656278731801,0.0,0.29254965559456164,2.5138643737364497,14.21614981262245,829.5533637157823
Ch22.3,20274.0,33.462864650522945,62.00192317961653,0.0,3.3662162480087123,14.12359874918322,35.865401754064436,820.7754849042891
Bc12.1,20274.0,30.417292719455055,64.57167492260852,0.0,2.2970735921331173,10.668496977526726,28.83275552841141,844.6127222688826
Bc24.1,20274.0,30.894055994411435,57.87654761079758,0.0,3.238099889156575,12.109779973297396,32.43618044480608,756.6117382873758
Bc18.1,20274.0,29.145434528745607,59.30710343896934,0.0,2.1555250601573444,10.603893812093204,28.763760506756547,811.0459343697419
Ch40.3,20274.0,30.94285310507877,65.9952932970325,0.0,2.0947546377865227,9.547269137614467,29.29724130173807,822.1392338519771
Ch40.1,20274.0,31.679538752029,62.58673246693453,0.0,2.6419684828460315,11.107018442769832,31.681347663385303,821.8684534071574
Bc18,20274.0,30.01721826364457,60.49066393613808,0.0,2.089249543875207,10.919670488323177,30.162947633764077,821.9542815547886
Bc24,20274.0,31.26886618524965,57.989461285846915,0.0,3.493264606911227,12.632878073311385,33.03971885348683,823.3816720217369
Ss30,20274.0,20.965251232128683,65.07794989406402,0.0,0.15585039675360038,1.7602793217790689,11.474144152771938,839.1628527162039
Ch40,20274.0,31.697328782238785,62.57695051390337,0.0,2.627600087887357,11.092831292586933,31.7044077351058,815.8979795945993
