Genes	healthy30.1	healthy30	healthy12	healthy18.1	healthy18	healthy24.1	healthy12.1	healthy24	zero-counter
AT1G01150	0.0	0.0	0.0	0.0	0.030068326359053262	0.0	0.0	0.0	7
AT1G01310	3.1578831937891843	0.10538215097333416	0.0	0.0	0.0	0.0	0.0	0.0	6
AT1G02065	0.16703994161682678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7
AT1G02250	0.0	0.0	0.6006961377544904	0.0	0.0	0.0	0.0	0.0	7
AT1G02490	0.0	0.0	1.3768092388133548	0.0	0.0	0.0	0.0	0.0	7
AT1G02570	0.0	0.0	0.0	0.0	0.0	0.19446289982259032	0.0	0.0	7
AT1G02705	0.0	0.0	0.0	0.0	0.06883198889484367	0.0	0.0	0.0	7
AT1G02810	0.0	0.0	0.0	0.05890856076571412	0.0	0.0	0.037935733217275946	0.0	6
AT1G03050	0.0	0.0	0.0	0.0	0.026533361527145832	0.0	0.0	0.05236999725144189	6
AT1G03120	0.0	0.08793958805360988	0.0	0.0	0.0	0.0	0.08938879666139732	0.0	6
AT1G03240	0.0	0.0	0.0	0.0	0.0	0.0	0.18472269143804204	0.0	7
AT1G03790	0.21551261503016989	0.32363553979120385	0.0	0.0	0.0	0.0	0.0	0.0	6
AT1G04370	0.0	0.0	0.0	0.3004043521634676	0.0	0.0	0.0	0.27813418938265777	6
AT1G04580	0.0	0.0	0.0	0.0	0.0	0.0	0.029352048724444493	0.0	7
AT1G05040	0.0	0.0	0.0	0.0	0.08198079140442308	0.0	0.0	0.0	7
AT1G05080	0.0	0.05138176064918777	0.0	0.0	0.0	0.0	0.05222851114534298	0.0	6
AT1G05330	0.0	0.0	0.0	0.0	0.8209960414558891	0.0	0.0	0.5401446576416832	6
AT1G05530	0.12414030748813877	0.055926492402515036	0.0	0.0	0.0	0.0	0.0	0.0	6
AT1G05577	0.10317371849560987	0.0	0.0	0.07336728406422477	0.0	0.0	0.0	0.0	6
AT1G05800	0.0	0.0	0.0	0.0	0.0	0.11494734968326845	0.0	0.07896182495185622	6
