dynamicMods,Freq
0,7466
1,113
2,108
3,105
4,105
5,97
6,96
7,96
8,92
9,91
10,90
11,90
12,88
13,88
14,87
15,86
16,85
17,84
18,84
19,83
20,82
21,82
22,79
23,78
24,78
25,77
26,77
27,77
28,76
29,76
30,76
31,75
32,75
33,75
34,74
35,74
36,74
37,72
38,71
39,70
40,70
41,69
42,69
43,69
44,69
45,68
46,68
47,68
48,68
49,67
50,66
51,65
52,65
53,65
54,65
55,65
56,65
57,64
58,64
59,64
60,64
61,63
62,63
63,63
64,63
65,63
66,63
67,62
68,61
69,61
70,61
71,61
72,60
73,60
74,60
75,60
76,60
77,59
78,59
79,58
80,57
81,57
82,57
83,57
84,57
85,57
86,57
87,57
88,56
89,56
90,56
91,56
92,56
93,56
94,55
95,55
96,55
97,54
98,54
99,54
100,54
101,54
102,54
103,53
104,53
105,53
106,52
107,52
108,52
109,52
110,52
111,52
112,52
113,51
114,51
115,50
116,50
117,50
118,49
119,49
120,48
121,48
122,48
123,48
124,48
125,48
126,47
127,47
128,46
129,46
130,46
131,46
132,46
133,45
134,45
135,45
136,44
137,44
138,44
139,44
140,44
141,44
142,44
143,44
144,43
145,42
146,42
147,42
148,42
149,42
150,42
151,42
152,42
153,41
154,41
155,41
156,41
157,41
158,41
159,41
160,40
161,40
162,40
163,39
164,39
165,39
166,39
167,38
168,38
169,38
170,38
171,38
172,38
173,38
174,38
175,37
176,37
177,37
178,37
179,37
180,37
181,37
182,37
183,36
184,36
185,36
186,36
187,36
188,36
189,35
190,35
191,35
192,35
193,35
194,34
195,34
196,33
197,33
198,33
199,33
200,33
201,33
202,33
203,32
204,32
205,32
206,32
207,31
208,31
209,31
210,31
211,31
212,31
213,30
214,30
215,30
216,30
217,30
218,30
219,30
220,30
221,29
222,29
223,29
224,29
225,29
226,28
227,27
228,26
229,26
230,26
231,25
232,24
233,24
234,24
235,24
236,24
237,21
