dynamicMods,Freq
0,14275
1,685
2,306
3,275
4,215
5,210
6,187
7,183
8,176
9,169
10,162
11,154
12,154
13,150
14,149
15,148
16,145
17,144
18,143
19,135
20,130
21,127
22,124
23,122
24,122
25,121
26,120
27,119
28,118
29,116
30,113
31,113
32,112
33,111
34,110
35,105
36,104
37,102
38,102
39,101
40,95
41,93
42,90
43,90
44,89
45,89
46,88
47,88
48,87
49,83
50,82
51,82
52,81
53,79
54,79
55,76
56,74
57,72
58,69
59,69
60,69
61,67
62,66
63,65
64,62
65,61
66,61
67,61
68,59
69,57
70,56
71,55
72,54
73,54
74,54
75,54
76,53
77,53
78,52
79,52
80,52
81,51
82,50
83,48
84,46
85,44
86,44
87,43
88,42
89,42
90,42
91,41
92,39
93,37
94,36
95,36
96,36
97,33
98,29
99,27
100,25
