dynamicMods,Freq
0,6520
1,206
2,147
3,111
4,103
5,103
6,102
7,102
8,100
9,99
10,93
11,92
12,91
13,89
14,88
15,88
16,86
17,85
18,84
19,83
20,82
21,76
22,76
23,75
24,75
25,73
26,73
27,73
28,72
29,72
30,72
31,72
32,72
33,71
34,70
35,70
36,68
37,68
38,68
39,68
40,67
41,67
42,66
43,65
44,65
45,64
46,64
47,63
48,63
49,63
50,62
51,62
52,62
53,62
54,62
55,62
56,62
57,62
58,62
59,62
60,61
61,61
62,61
63,60
64,60
65,59
66,59
67,59
68,59
69,58
70,58
71,58
72,58
73,58
74,58
75,57
76,57
77,57
78,56
79,56
80,56
81,56
82,55
83,55
84,55
85,55
86,55
87,55
88,54
89,54
90,54
91,54
92,53
93,53
94,53
95,53
96,52
97,52
98,52
99,52
100,52
101,52
102,51
103,51
104,51
105,50
106,50
107,50
108,50
109,50
110,50
111,50
112,50
113,50
114,50
115,49
116,49
117,49
118,49
119,49
120,49
121,48
122,48
123,48
124,48
125,48
126,48
127,48
128,48
129,48
130,48
131,48
132,47
133,47
134,47
135,47
136,47
137,47
138,46
139,46
140,46
141,46
142,45
143,45
144,45
145,45
146,45
147,45
148,45
149,44
150,44
151,44
152,44
153,44
154,44
155,43
156,43
157,43
158,43
159,43
160,43
161,43
162,42
163,42
164,42
165,42
166,42
167,42
168,42
169,42
170,42
171,41
172,41
173,41
174,41
175,41
176,41
177,41
178,40
179,40
180,40
181,40
182,40
183,40
184,40
185,40
186,39
187,39
188,39
189,39
190,39
191,39
192,39
193,39
194,38
195,38
196,38
197,38
198,38
199,38
200,38
201,38
202,38
203,38
204,38
205,38
206,37
207,37
208,37
209,36
210,36
211,36
212,36
213,36
214,36
215,36
216,36
217,35
218,35
219,35
220,35
221,35
222,35
223,35
224,35
225,35
226,34
227,34
228,34
229,34
230,33
231,33
232,33
233,32
234,32
235,32
236,32
237,32
238,32
239,32
240,32
241,32
242,31
243,31
244,31
245,31
246,30
247,30
248,29
249,28
250,28
251,28
252,28
253,28
254,28
255,28
256,28
257,27
258,27
259,27
260,27
261,26
262,26
263,25
264,25
265,25
266,25
267,24
268,24
269,24
270,24
271,23
272,23
273,23
274,22
275,21
276,21
