powerEstimate,fitIndices.Power,fitIndices.SFT.R.sq,fitIndices.slope,fitIndices.truncated.R.sq,fitIndices.mean.k.,fitIndices.median.k.,fitIndices.max.k.
1,NA,1,0.740068008678158,3.29663364832242,0.771699182219406,13825.2538269346,14220.4362524694,16635.3408218744
2,NA,2,0.730014089316818,1.13980908786454,0.653427406459379,9115.9368465817,9302.84719172049,12787.8778181374
3,NA,3,0.633640505227086,0.45769103399242,0.737864841315105,6555.63497603486,6585.75925741542,10387.5091956701
4,NA,4,0.197388307980585,0.312635945784343,0.367484805407422,4999.18996465281,4938.65903478792,8704.62631265666
5,NA,5,0.0175033599338076,0.0681424578476738,0.253163929802394,3975.29226896974,3871.12945079022,7483.71697247873
6,NA,6,0.041888546937934,-0.0913375997931702,0.375858484432916,3260.28872779263,3140.68704991671,6559.11062473076
7,NA,7,0.188889606323093,-0.193157219784513,0.612382733077579,2737.25345981467,2626.53144149426,5834.34767625179
8,NA,8,0.319478026640631,-0.289648005155733,0.703575943060104,2340.35048400587,2258.58126325612,5271.28381132361
9,NA,9,0.408512652420198,-0.375154301755145,0.750685944083929,2030.19708114287,1946.98962785798,4805.52602072222
10,NA,10,0.450263172801936,-0.446502518631456,0.758199419812801,1782.00642782925,1709.89035157856,4412.49561166432
11,NA,10,0.450263172801936,-0.446502518631456,0.758199419812801,1782.00642782925,1709.89035157856,4412.49561166432
12,NA,11,0.485377215100768,-0.509522346121983,0.779861290858596,1579.48986040735,1498.38668844586,4075.35854515536
13,NA,12,0.508418931953981,-0.568173496659029,0.79234926422192,1411.54134550049,1320.06443894515,3782.24167250883
14,NA,13,0.526610878357387,-0.618726393888242,0.804982895623765,1270.34548929729,1166.78602659518,3524.53985793171
15,NA,14,0.544169952052112,-0.666849054112459,0.819168900003434,1150.25103359932,1040.92146008542,3296.31941120826
16,NA,15,0.552664755932921,-0.715964683376993,0.822788107015645,1047.07445142678,932.011514180901,3093.53747366127
17,NA,16,0.566670013005714,-0.757023080613044,0.834476963297674,957.654851107676,848.780374468703,2910.65001167551
18,NA,17,0.576041908410026,-0.793315745999287,0.842780465721463,879.560963762249,776.335478241058,2744.80255497982
19,NA,18,0.586589190477864,-0.825768125197315,0.852279930110874,810.893109930735,713.939648954365,2593.69343396262
20,NA,19,0.589282082244194,-0.858031179880863,0.853087206442247,750.146183566417,657.360786176451,2455.43937068344
21,NA,20,0.593802524457827,-0.890352724213577,0.855509505949953,696.11284467651,603.145636720958,2328.47971629235
22,NA,21,0.599056700359845,-0.915585273037088,0.85905911466856,647.813822078756,556.447538115689,2211.5067803947
23,NA,22,0.599666476855469,-0.942418190582935,0.860099846062709,604.446876726339,514.163865319478,2103.41415675277
24,NA,23,0.603412996635872,-0.968449664005468,0.862013000463647,565.348852416538,475.039794004806,2003.25771646595
25,NA,24,0.601493879165339,-0.995624068685899,0.859720741102041,529.967062727094,440.246788089944,1910.22568980638
26,NA,25,0.603303441014043,-1.01281474265751,0.860420585222129,497.837442311513,408.355849646383,1823.61538612025
27,NA,26,0.605432984438153,-1.0341010157246,0.861453599610198,468.567669173494,379.138029448594,1742.81484236132
28,NA,27,0.608048134109275,-1.0540910808897,0.861832861128179,441.823987841814,352.860722337726,1667.28818671821
29,NA,28,0.610612973715643,-1.06917288884177,0.863939347939642,417.320821043657,340.826048516845,1596.56384153473
30,NA,29,0.612095823819876,-1.08295962341668,0.864727212358695,394.812505735644,317.740478442401,1530.22492369359
31,NA,30,0.612009491657456,-1.09769467306064,0.863741571494221,374.08666413777,296.886667986233,1467.90136536198
