powerEstimate,fitIndices.Power,fitIndices.SFT.R.sq,fitIndices.slope,fitIndices.truncated.R.sq,fitIndices.mean.k.,fitIndices.median.k.,fitIndices.max.k.
1,NA,1,0.61071246893761,7.09028748773775,0.983535687237252,12802.9198235405,12920.1464616636,15012.0294453286
2,NA,2,0.642282631667584,3.55218992542594,0.967762686602065,8050.25494283881,8179.25457109997,10300.2898172276
3,NA,3,0.619694720799427,1.93717636981289,0.871969167037138,5573.27402688552,5762.11099813378,7658.37202816781
4,NA,4,0.482392286029771,1.15530672698063,0.719955805401763,4112.22403893918,4326.53098372996,6091.37047543096
5,NA,5,0.321461461352233,0.664951409125552,0.512402058429977,3175.2516820017,3372.1031606242,5035.560591154
6,NA,6,0.143913436394877,0.370459532618108,0.359587995100709,2536.39714601473,2701.56447968768,4307.85012553083
7,NA,7,0.041912081249208,0.169370111907589,0.300082708852277,2079.85691942735,2210.90596638676,3754.82967635637
8,NA,8,0.0029124771203685,0.0398710820543367,0.302565215938563,1741.27309923143,1835.78281370996,3320.36056992204
9,NA,9,0.0131146835108486,-0.0806098717117315,0.311076741017291,1482.53511239594,1544.92160532453,2978.87086572656
10,NA,10,0.0706531805869297,-0.185362442294388,0.385291011596489,1279.88495611671,1315.04925566962,2702.21691471447
11,NA,10,0.0706531805869297,-0.185362442294388,0.385291011596489,1279.88495611671,1315.04925566962,2702.21691471447
12,NA,11,0.143561449407677,-0.258717932034574,0.471178150172775,1117.8683344345,1131.06336603701,2469.83359178087
13,NA,12,0.227395180764643,-0.326558318169442,0.561997568237454,986.066234012573,979.261318197875,2277.94224714583
14,NA,13,0.318340992124049,-0.384615604133293,0.664316033610665,877.236951273784,853.346524522487,2115.20593225142
15,NA,14,0.40629203404579,-0.435847246926925,0.746801854511171,786.21329405821,750.426366716836,1972.80536131953
16,NA,15,0.487641664612532,-0.483557274364187,0.809921017781348,709.223192365048,663.046574755047,1847.06550156419
17,NA,16,0.562416431513717,-0.518154639649628,0.872189834072072,643.457369924575,589.072158073947,1735.16605379006
18,NA,17,0.627780456305642,-0.554442759864544,0.918159703421789,586.786294176752,525.722648833554,1634.90336642247
19,NA,18,0.674096926228094,-0.600473995544639,0.942868708410249,537.57013830213,471.20750483781,1552.40984369049
20,NA,19,0.695526909849568,-0.662307406100491,0.944807063211529,494.528299452781,423.769439414722,1488.682532965
21,NA,20,0.715391766762307,-0.717422753073897,0.948399400687483,456.647991473303,393.786424626027,1430.24874215934
22,NA,21,0.730140200873462,-0.766919243651602,0.949195272098611,423.119041335239,356.842164340108,1376.43112313938
23,NA,22,0.743265138328839,-0.811671981046066,0.952784020344161,393.286608800857,330.085016802735,1326.6675129554
24,NA,23,0.756562096154897,-0.85325542333645,0.95486599959249,366.616387454078,303.879165184348,1280.48688834626
25,NA,24,0.767358020973364,-0.894274375965918,0.956808112182369,342.668640888676,277.840028190086,1238.6809913892
26,NA,25,0.776506696412316,-0.932924976730082,0.957306294072894,321.078587429464,254.821172972635,1200.23008372587
27,NA,26,0.789390047210029,-0.967829538083116,0.959293865908271,301.541409862701,234.292774389899,1164.21498124986
28,NA,27,0.799534846637274,-1.00491611313339,0.960133143609637,283.800677612964,215.994417236758,1130.39518548175
29,NA,28,0.808005774889237,-1.03629325705527,0.966834707515643,267.639316444799,199.302128689072,1098.56209340656
30,NA,29,0.820372154111577,-1.06627845234081,0.970183546734295,252.872500810924,184.11228297471,1068.53375770818
31,NA,30,0.826300844902128,-1.09489371899116,0.970164075874374,239.34201200426,170.566155020901,1040.1506619294
