powerEstimate,fitIndices.Power,fitIndices.SFT.R.sq,fitIndices.slope,fitIndices.truncated.R.sq,fitIndices.mean.k.,fitIndices.median.k.,fitIndices.max.k.
1,NA,1,0.688853674971837,2.94752011566672,0.865153234717003,12032.5179875716,12616.3328398513,14483.6554389899
2,NA,2,0.690743042453478,1.24334463359974,0.72215139359645,8321.63227388405,8759.56736366706,11577.7849981992
3,NA,3,0.767456973201436,0.630537194270291,0.709365137339441,6233.92225907912,6494.0238170598,9658.79440846407
4,NA,4,0.540331661048503,0.422396965172634,0.541412677751017,4905.4999001141,5033.64754658498,8262.14959251048
5,NA,5,0.284367970814033,0.319408049032217,0.435111909847306,3991.92598133063,4029.35752964621,7202.17111884559
6,NA,6,0.128957647253503,0.194588258939633,0.419143312446396,3328.93030591021,3315.80472966865,6377.21215061166
7,NA,7,0.0134768542453466,0.0574427666195907,0.420411247049905,2828.35866070335,2781.87827849183,5724.98958649594
8,NA,8,0.024714481800599,-0.0772915756978853,0.505454048318142,2438.75976400763,2382.94516368593,5196.35540614812
9,NA,9,0.131078194558188,-0.19311547617466,0.590701008496633,2128.14334027302,2058.21672689964,4752.46896351987
10,NA,10,0.233698765480992,-0.288635334355601,0.655626444422627,1875.6086170479,1791.45550213311,4373.67506602602
11,NA,10,0.233698765480992,-0.288635334355601,0.655626444422627,1875.6086170479,1791.45550213311,4373.67506602602
12,NA,11,0.326087633648889,-0.375814225312899,0.70525719032753,1666.9433661178,1575.48751137158,4046.04631876361
13,NA,12,0.390599697450101,-0.454858877946876,0.733040661040086,1492.15979072606,1388.83251168422,3759.45239683261
14,NA,13,0.438430873378111,-0.523351049251848,0.758439306897962,1344.04213395823,1231.36687674236,3506.34966598334
15,NA,14,0.476232963859373,-0.583424249583211,0.778812116212667,1217.25320802375,1097.94354961408,3281.00042128775
16,NA,15,0.498217174259583,-0.639628689875286,0.789480095959489,1107.76448942171,979.722236073735,3079.79147592942
17,NA,16,0.523412836187321,-0.685168933339544,0.809580407180537,1012.48112429273,882.001977416729,2898.81536646264
18,NA,17,0.547182196262121,-0.730205229086234,0.82697324567148,928.988430264189,794.590424534555,2734.49391264224
19,NA,18,0.561487439436504,-0.768732669947472,0.836405439054556,855.376422710529,722.715896112625,2584.62695669672
20,NA,19,0.56975063053424,-0.80653736962034,0.840338593101264,790.115777912705,660.960743668229,2447.40101616376
21,NA,20,0.57888590449661,-0.844732797489343,0.843880969377548,731.968502628578,610.167518855162,2321.30455846746
22,NA,21,0.588320998026928,-0.876348847444382,0.849922507215946,679.922512562916,565.650282110071,2205.06523907813
23,NA,22,0.593579632774295,-0.908078279252782,0.853024498047724,633.14299170406,526.357898831633,2097.60263382116
24,NA,23,0.600623225616449,-0.937645024485289,0.858427174079844,590.935729986597,491.966546847657,1997.99209662407
25,NA,24,0.604397841736654,-0.966095994699358,0.861076636165427,552.719143231614,458.699922013547,1905.43673918742
26,NA,25,0.609496940099575,-0.99290335490009,0.863067449431816,518.002674890667,428.377418396082,1819.24543203389
27,NA,26,0.615060156767577,-1.01849209846406,0.866374131149276,486.369949112952,398.757848727674,1738.81533387759
28,NA,27,0.617350211587406,-1.04010575642153,0.868083769533583,457.465503104572,371.925441232034,1663.61787169532
29,NA,28,0.622531284984265,-1.05417947345962,0.87263432722167,430.984245280446,348.253312238043,1593.18738247685
30,NA,29,0.626681453943287,-1.07216938019271,0.875916429859001,406.663010169285,326.459552124104,1527.11183112893
31,NA,30,0.626879390045585,-1.090820250458,0.876058790922181,384.27374127982,306.132190909493,1465.02516455066
