Genes	min	max	gen_len
AT1G01010	3760	5630	1871
AT1G01020	6915	8666	1752
AT1G01030	11864	12940	1077
AT1G01040	23519	31079	7561
AT1G01050	31382	32670	1289
AT1G01060	33992	37061	3070
AT1G01070	38898	40877	1980
AT1G01080	45503	46789	1287
AT1G01090	47705	49166	1462
AT1G01100	50284	50954	671
AT1G01110	52239	54494	2256
AT1G01120	57392	58978	1587
AT1G01130	61905	63811	1907
AT1G01140	64398	67512	3115
AT1G01150	70115	71998	1884
AT1G01160	72583	73883	1301
AT1G01170	74105	74443	339
AT1G01180	75633	76556	924
AT1G01190	83045	84879	1835
AT1G01200	86715	88145	1431
AT1G01210	88977	89529	553
AT1G01220	91750	95552	3803
AT1G01225	96064	97242	1179
AT1G01230	97620	99046	1427
AT1G01240	100683	101678	996
AT1G01250	104731	105309	579
AT1G01260	109595	111367	1773
AT1G01280	112290	113905	1616
AT1G01290	114299	115296	998
AT1G01300	117065	118522	1458
AT1G01305	119429	119854	426
AT1G01310	120221	120946	726
AT1G01320	121582	130099	8518
AT1G01335	130736	130858	123
AT1G01340	132414	135216	2803
AT1G01350	136732	137970	1239
AT1G01355	138513	139568	1056
AT1G01360	142138	142914	777
AT1G01370	143773	145400	1628
AT1G01380	147267	147740	474
AT1G01390	148319	149812	1494
AT1G01400	151158	152149	992
AT1G01410	153113	154198	1086
AT1G01420	154566	156020	1455
AT1G01430	156953	158536	1584
AT1G01440	159935	162219	2285
AT1G01450	164105	165517	1413
AT1G01453	166853	167798	946
AT1G01460	169115	171154	2040
AT1G01470	172295	172826	532
AT1G01480	175862	178051	2190
AT1G01490	180401	182066	1666
AT1G01500	185260	186573	1314
AT1G01510	187235	189836	2602
AT1G01520	190596	192139	1544
AT1G01530	192640	193662	1023
AT1G01540	195980	198383	2404
AT1G01550	200526	201575	1050
AT1G01560	202345	204189	1845
AT1G01570	205083	207435	2353
AT1G01580	209161	212810	3650
AT1G01590	214229	217304	3076
AT1G01600	219200	220994	1795
AT1G01610	221950	224255	2306
AT1G01620	225986	227176	1191
AT1G01630	229206	230675	1470
AT1G01640	231164	231915	752
AT1G01650	233188	237647	4460
AT1G01660	240057	242608	2552
AT1G01670	242943	245163	2221
AT1G01680	246411	248329	1919
AT1G01690	249242	252221	2980
AT1G01695	252947	254495	1549
AT1G01700	259495	261474	1980
AT1G01710	262950	266029	3080
AT1G01715	266517	267504	988
AT1G01720	268471	269514	1044
AT1G01725	270016	270735	720
AT1G01730	271002	271872	871
AT1G01740	272111	274239	2129
AT1G01750	275528	276126	599
AT1G01760	276412	278487	2076
AT1G01770	278759	282490	3732
AT1G01780	282919	284082	1164
AT1G01790	284781	290869	6089
AT1G01800	293396	294888	1493
AT1G01810	295242	295724	483
AT1G01820	296213	297723	1511
AT1G01830	298717	300441	1725
AT1G01840	303650	304108	459
AT1G01860	304439	306275	1837
AT1G01880	306558	308991	2434
AT1G01900	310332	313011	2680
AT1G01910	313595	315831	2237
AT1G01920	316204	319507	3304
AT1G01930	320041	322809	2769
AT1G01940	323082	324719	1638
AT1G01950	325473	330403	4931
AT1G01960	330830	337582	6753
AT1G01970	338538	339905	1368
AT1G01980	340374	341999	1626
AT1G01990	343462	344199	738
AT1G02000	346052	347356	1305
AT1G02010	348046	352197	4152
AT1G02020	352842	354845	2004
AT1G02030	355385	356188	804
AT1G02040	358104	359078	975
AT1G02050	359164	360441	1278
AT1G02060	360918	363050	2133
AT1G02065	365625	367149	1525
AT1G02067	366945	367166	222
AT1G02070	370445	370947	503
AT1G02080	373335	386682	13348
AT1G02090	387479	389568	2090
AT1G02100	389876	392448	2573
AT1G02110	392939	395434	2496
AT1G02120	395761	399720	3960
AT1G02130	400350	401788	1439
AT1G02140	403467	404401	935
AT1G02145	404627	408485	3859
AT1G02150	408779	410433	1655
AT1G02160	410803	411383	581
AT1G02170	411883	413426	1544
AT1G02180	413619	414505	887
AT1G02190	415154	417796	2643
AT1G02205	418818	422154	3337
