Genes	GO_term	GO_id	TAIR_id	category	GO_slim
AT1G01010	DNA-binding transcription factor activity	GO:0003700	4449.0	func	DNA-binding transcription factor activity
AT1G01020	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G01030	protein binding	GO:0005515	3877.0	func	protein binding
AT1G01040	protein binding	GO:0005515	3877.0	func	protein binding
AT1G01050	inorganic diphosphatase activity	GO:0004427	2813.0	func	hydrolase activity
AT1G01060	transcription regulatory region sequence-specific DNA binding	GO:0000976	35767.0	func	nucleic acid binding | DNA binding
AT1G01070	L-glutamine transmembrane transporter activity	GO:0015186	2532.0	func	transporter activity
AT1G01080	mRNA binding	GO:0003729	3091.0	func	RNA binding
AT1G01090	pyruvate dehydrogenase (acetyl-transferring) activity	GO:0004739	3977.0	func	catalytic activity
AT1G01100	structural constituent of ribosome	GO:0003735	4271.0	func	structural molecule activity
AT1G01110	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G01120	3-oxo-lignoceronyl-CoA synthase activity	GO:0102338	51891.0	func	transferase activity
AT1G01130	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G01140	protein binding	GO:0005515	3877.0	func	protein binding
AT1G01160	protein binding	GO:0005515	3877.0	func	protein binding
AT1G01170	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G01180	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G01190	iron ion binding	GO:0005506	2918.0	func	other binding
AT1G01200	GTPase activity	GO:0003924	1041.0	func	hydrolase activity
AT1G01210	zinc ion binding	GO:0008270	4661.0	func	other binding
AT1G01220	fucokinase activity	GO:0050201	16890.0	func	kinase activity | transferase activity
AT1G01225	protein binding	GO:0005515	3877.0	func	protein binding
AT1G01230	protein binding	GO:0005515	3877.0	func	protein binding
AT1G01250	DNA-binding transcription factor activity	GO:0003700	4449.0	func	DNA-binding transcription factor activity
AT1G01260	transcription regulatory region sequence-specific DNA binding	GO:0000976	35767.0	func	DNA binding | nucleic acid binding
AT1G01280	heme binding	GO:0020037	9668.0	func	other binding
AT1G01290	cyclic pyranopterin monophosphate synthase activity	GO:0061799	52904.0	func	catalytic activity
AT1G01300	aspartic-type endopeptidase activity	GO:0004190	1621.0	func	hydrolase activity | catalytic activity
AT1G01305	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G01310	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G01320	mRNA binding	GO:0003729	3091.0	func	RNA binding
AT1G01335	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G01340	ion channel activity	GO:0005216	2912.0	func	transporter activity
AT1G01360	signaling receptor activity	GO:0038023	38730.0	func	signaling receptor activity
AT1G01370	protein binding	GO:0005515	3877.0	func	protein binding
AT1G01380	DNA-binding transcription factor activity	GO:0003700	4449.0	func	DNA-binding transcription factor activity
AT1G01390	transferase activity, transferring glycosyl groups	GO:0016757	14916.0	func	transferase activity
AT1G01400	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G01410	mRNA binding	GO:0003729	3091.0	func	RNA binding
AT1G01420	quercetin 3-O-glucosyltransferase activity	GO:0080043	31694.0	func	transferase activity
AT1G01430	O-acetyltransferase activity	GO:0016413	1171.0	func	transferase activity
AT1G01440	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G01450	protein serine/threonine/tyrosine kinase activity	GO:0004712	3912.0	func	catalytic activity | kinase activity | transferase activity
AT1G01453	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G01460	1-phosphatidylinositol-4-phosphate 5-kinase activity	GO:0016308	749.0	func	kinase activity | transferase activity
AT1G01470	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G01480	protein binding	GO:0005515	3877.0	func	protein binding
AT1G01490	metal ion binding	GO:0046872	13966.0	func	other binding
AT1G01500	phosphoglycerate dehydrogenase activity	GO:0004617	3695.0	func	catalytic activity
AT1G01510	protein binding	GO:0005515	3877.0	func	protein binding
AT1G01520	DNA-binding transcription factor activity	GO:0003700	4449.0	func	DNA-binding transcription factor activity
AT1G01530	DNA-binding transcription factor activity	GO:0003700	4449.0	func	DNA-binding transcription factor activity
AT1G01540	protein serine/threonine kinase activity	GO:0004674	3907.0	func	transferase activity | catalytic activity | kinase activity
AT1G01550	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G01560	MAP kinase activity	GO:0004707	1091.0	func	kinase activity | transferase activity | catalytic activity
AT1G01570	acetylglucosaminyltransferase activity	GO:0008375	1338.0	func	transferase activity
AT1G01580	ferric-chelate reductase activity	GO:0000293	10957.0	func	catalytic activity
AT1G01590	ferric-chelate reductase activity	GO:0000293	10957.0	func	catalytic activity
AT1G01600	iron ion binding	GO:0005506	2918.0	func	other binding
AT1G01610	glycerol-3-phosphate 2-O-acyltransferase activity	GO:0090447	43588.0	func	transferase activity
AT1G01620	protein binding	GO:0005515	3877.0	func	protein binding
AT1G01640	protein binding	GO:0005515	3877.0	func	protein binding
AT1G01650	aspartic endopeptidase activity, intramembrane cleaving	GO:0042500	12785.0	func	hydrolase activity | catalytic activity
AT1G01660	ubiquitin-protein transferase activity	GO:0004842	4573.0	func	catalytic activity | transferase activity
AT1G01670	ubiquitin-protein transferase activity	GO:0004842	4573.0	func	catalytic activity | transferase activity
AT1G01680	ubiquitin-protein transferase activity	GO:0004842	4573.0	func	catalytic activity | transferase activity
AT1G01690	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G01700	Rho guanyl-nucleotide exchange factor activity	GO:0005089	1214.0	func	protein binding
AT1G01710	acyl-CoA hydrolase activity	GO:0047617	16032.0	func	hydrolase activity
AT1G01720	transcription regulatory region sequence-specific DNA binding	GO:0000976	35767.0	func	DNA binding | nucleic acid binding
AT1G01725	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G01730	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G01740	ATP binding	GO:0005524	894.0	func	other binding | nucleotide binding
AT1G01750	actin filament binding	GO:0051015	18617.0	func	other binding | protein binding
AT1G01760	double-stranded RNA adenosine deaminase activity	GO:0003726	2201.0	func	hydrolase activity
AT1G01780	actin filament binding	GO:0051015	18617.0	func	other binding | protein binding
AT1G01790	potassium:proton antiporter activity	GO:0015386	3813.0	func	transporter activity
AT1G01810	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G01820	protein binding	GO:0005515	3877.0	func	protein binding
