	Genes	GO_term	GO_id	TAIR_id	GO_slim
0	AT1G01010	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
1	AT1G01020	molecular_function_unknown	0003674	3226.0	unknown molecular functions
2	AT1G01030	protein binding	0005515	3877.0	protein binding
3	AT1G01040	protein binding	0005515	3877.0	protein binding
4	AT1G01050	inorganic diphosphatase activity	0004427	2813.0	hydrolase activity
5	AT1G01060	transcription regulatory region sequence-specific DNA binding	0000976	35767.0	nucleic acid binding | DNA binding
6	AT1G01070	L-glutamine transmembrane transporter activity	0015186	2532.0	transporter activity
7	AT1G01080	mRNA binding	0003729	3091.0	RNA binding
8	AT1G01090	pyruvate dehydrogenase (acetyl-transferring) activity	0004739	3977.0	catalytic activity
9	AT1G01100	structural constituent of ribosome	0003735	4271.0	structural molecule activity
10	AT1G01110	molecular_function_unknown	0003674	3226.0	unknown molecular functions
11	AT1G01120	3-oxo-lignoceronyl-CoA synthase activity	0102338	51891.0	transferase activity
12	AT1G01130	molecular_function_unknown	0003674	3226.0	unknown molecular functions
13	AT1G01140	protein binding	0005515	3877.0	protein binding
14	AT1G01150	protein binding	0005515	3877.0	protein binding
15	AT1G01160	molecular_function_unknown	0003674	3226.0	unknown molecular functions
16	AT1G01170	molecular_function_unknown	0003674	3226.0	unknown molecular functions
17	AT1G01180	iron ion binding	0005506	2918.0	other binding
18	AT1G01190	GTPase activity	0003924	1041.0	hydrolase activity
19	AT1G01200	zinc ion binding	0008270	4661.0	other binding
20	AT1G01210	fucokinase activity	0050201	16890.0	kinase activity | transferase activity
21	AT1G01220	protein binding	0005515	3877.0	protein binding
22	AT1G01225	protein binding	0005515	3877.0	protein binding
23	AT1G01230	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
24	AT1G01240	transcription regulatory region sequence-specific DNA binding	0000976	35767.0	DNA binding | nucleic acid binding
25	AT1G01250	heme binding	0020037	9668.0	other binding
26	AT1G01260	cyclic pyranopterin monophosphate synthase activity	0061799	52904.0	catalytic activity
27	AT1G01290	aspartic-type endopeptidase activity	0004190	1621.0	hydrolase activity | catalytic activity
28	AT1G01300	molecular_function_unknown	0003674	3226.0	unknown molecular functions
29	AT1G01310	molecular_function_unknown	0003674	3226.0	unknown molecular functions
30	AT1G01320	mRNA binding	0003729	3091.0	RNA binding
31	AT1G01340	molecular_function_unknown	0003674	3226.0	unknown molecular functions
32	AT1G01350	ion channel activity	0005216	2912.0	transporter activity
33	AT1G01355	signaling receptor activity	0038023	38730.0	signaling receptor activity
34	AT1G01360	protein binding	0005515	3877.0	protein binding
35	AT1G01370	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
36	AT1G01380	transferase activity, transferring glycosyl groups	0016757	14916.0	transferase activity
37	AT1G01390	molecular_function_unknown	0003674	3226.0	unknown molecular functions
38	AT1G01420	mRNA binding	0003729	3091.0	RNA binding
39	AT1G01430	quercetin 3-O-glucosyltransferase activity	0080043	31694.0	transferase activity
40	AT1G01440	O-acetyltransferase activity	0016413	1171.0	transferase activity
41	AT1G01450	molecular_function_unknown	0003674	3226.0	unknown molecular functions
42	AT1G01453	protein serine/threonine/tyrosine kinase activity	0004712	3912.0	catalytic activity | kinase activity | transferase activity
43	AT1G01470	molecular_function_unknown	0003674	3226.0	unknown molecular functions
44	AT1G01480	1-phosphatidylinositol-4-phosphate 5-kinase activity	0016308	749.0	kinase activity | transferase activity
45	AT1G01490	molecular_function_unknown	0003674	3226.0	unknown molecular functions
46	AT1G01500	protein binding	0005515	3877.0	protein binding
